reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
ACGAMtly,N-acetyl-glucosamine lysosomal efflux,Unknown,-1.3649192138343223e-13,1.264480390625002,-1.0794309061287031e-13,1.000000000000108,LETHAL,optimal,0,,,acgam_l --> N_45_acetyl_45_D_45_glucosamine_c
DM_Asn_X_Ser_FSLASH_Thr_LPAREN_ly_RPAREN_,DM Asn-X-Ser/Thr(ly),Unknown,-6.023405865860091e-14,1.264480390625002,-4.763542329733455e-14,1.0000000000000477,LETHAL,optimal,0,,,Asn_DASH_DASH_DASH_X_DASH_DASH_DASH_Ser_DASH_FSLASH_DASH_Thr_l --> 
A_MANASEly,"alpha-mannosidase, lysosomal",Unknown,-6.5639679307449715e-15,1.264480390625002,-5.191039718299278e-15,1.000000000000005,LETHAL,optimal,1,4125_AT1,MAN2B1,2.0 h2o_l + m2mn_l --> 2.0 man_l + mn_l
ADENOSYLHOMOCYSTEINASE_45_RXN,ADENOSYLHOMOCYSTEINASE-RXN,Unknown,-5.405620648848801e-15,1.264480390625002,-4.27497388565823e-15,1.0000000000000042,LETHAL,optimal,3,HS02273;HS08293;HS09809,AHCY;AHCYL2;AHCYL1,ADENOSYL_45_HOMO_45_CYS_c + WATER_c <=> ADENOSINE_c + HOMO_45_CYS_c
PSSA1_hs,Phosphatidylserine synthase homo sapiens,Unknown,-3.668099726004543e-15,1.264480390625002,-2.9008751366966556e-15,1.0000000000000029,LETHAL,optimal,1,9791_AT1,PTDSS1,SER_c + pchol_DASH_hs_c <=> chol_c + ps_DASH_hs_c
AMETt2m,"S-Adenosyl-L-methionine reversible transport, mitochondrial",Unknown,-5.791736409480857e-16,1.264480390625002,-4.580329163205246e-16,1.0000000000000004,LETHAL,optimal,3,115286_AT3;115286_AT1;115286_AT2,SLC25A26;SLC25A26;SLC25A26,ahcys_m + amet_c <=> ADENOSYL_45_HOMO_45_CYS_c + amet_m
PETOHMm_hs,phosphatidylethanolamine N-methyltransferase,Unknown,-5.791736409480857e-16,1.264480390625002,-4.580329163205246e-16,1.0000000000000004,LETHAL,optimal,3,10400_AT2;10400_AT1;10400_AT3,PEMT;PEMT;PEMT,3.0 amet_m + pe_DASH_hs_m --> 3.0 ahcys_m + 3.0 h_m + pchol_DASH_hs_m
2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,Unknown,-3.8611576063205717e-16,1.264480390625002,-3.053552775470164e-16,1.0000000000000002,LETHAL,optimal,7,3948_AT2;3939_AT1;160287_AT1;3948_AT1;55293_AT1;92483_AT1;3945_AT1,LDHC;LDHA;LDHAL6A;LDHC;UEVLD;LDHAL6B;LDHB,2hb_c + nad_c <=> 2obut_c + h_c + nadh_c
H2Otly,"H2O transport, lysosomal",Unknown,-3.8611576063205717e-16,1.264480390625002,-3.053552775470164e-16,1.0000000000000002,LETHAL,optimal,0,,,WATER_c <=> h2o_l
PHEt4,L-phenylalanine transport in via sodium symport,Unknown,-1.9305788031602859e-16,1.264480390625002,-1.526776387735082e-16,1.0000000000000002,LETHAL,optimal,7,54407_AT1;55089_AT1;6541_AT1;81539_AT1;6542_AT1;84889_AT1;11254_AT1,SLC38A2;SLC38A4;SLC7A1;SLC38A1;SLC7A2;SLC7A3;SLC6A14,NA_43__e + PHE_e --> NA_43__c + PHE_c
VALt4,L-valine transport in via sodium symport,Unknown,-1.9305788031602859e-16,1.264480390625002,-1.526776387735082e-16,1.0000000000000002,LETHAL,optimal,1,11254_AT1,SLC6A14,NA_43__e + val_DASH_DASH_DASH_L_e --> NA_43__c + VAL_c
