gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
2987_AT1,GUK1,-2.1043308954447115e-14,1.264480390625002,-1.6641862626312394e-14,1.0000000000000167,LETHAL,optimal,2,DGK1;GK1
4125_AT1,MAN2B1,-2.8958682047404287e-15,1.264480390625002,-2.2901645816026227e-15,1.0000000000000022,LETHAL,optimal,1,A_MANASEly
2531_AT1,KDSR,0.0,1.264480390625002,0.0,1.0,LETHAL,optimal,1,3DSPHR
11254_AT1,SLC6A14,0.0,1.264480390625002,0.0,1.0,LETHAL,optimal,8,ARGt4;METt4;LYSt4;TYRt4;VALt4;TRPt4;PHEt4;ILEt4
175_AT1,AGA,0.0,1.264480390625002,0.0,1.0,LETHAL,optimal,2,GASNASE2ly;GASNASEly
57194_AT1,ATP10A,0.0,1.264480390625002,0.0,1.0,LETHAL,optimal,3,PSFLIPm;PCFLOPm;PEFLIPm
9791_AT1,PTDSS1,0.0,1.264480390625002,0.0,1.0,LETHAL,optimal,1,PSSA1_hs
259230_AT1,SGMS1,0.0,1.264480390625002,0.0,1.0,LETHAL,optimal,1,SMS
51727_AT1,CMPK1,1.9305788031602859e-16,1.264480390625002,1.526776387735082e-16,0.9999999999999999,LETHAL,optimal,40,CYTK12;UMPK5;CYTK5;CYTK12n;UMPK5n;CYTK5n;CYTK13;UMPK6;CYTK6;CYTK13n
4126_AT1,MANBA,3.8611576063205717e-16,1.264480390625002,3.053552775470164e-16,0.9999999999999997,LETHAL,optimal,1,B_MANNASEly
