gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
2531_AT1,KDSR,-1.880983299573765e-16,1.2584797342192702,-1.4946472703755384e-16,1.0000000000000002,LETHAL,optimal,1,3DSPHR
11254_AT1,SLC6A14,0.0,1.2584797342192702,0.0,1.0,LETHAL,optimal,8,VALt4;TRPt4;PHEt4;TYRt4;ARGt4;METt4;LYSt4;ILEt4
4126_AT1,MANBA,0.0,1.2584797342192702,0.0,1.0,LETHAL,optimal,1,B_MANNASEly
4125_AT1,MAN2B1,0.0,1.2584797342192702,0.0,1.0,LETHAL,optimal,1,A_MANASEly
51727_AT1,CMPK1,0.0,1.2584797342192702,0.0,1.0,LETHAL,optimal,40,CYTK11n;UMPK4n;CYTK5;CYTK12;UMPK5;CYTK5n;CYTK12n;UMPK5n;CYTK6;CYTK13
57194_AT1,ATP10A,0.0,1.2584797342192702,0.0,1.0,LETHAL,optimal,3,PEFLIPm;PSFLIPm;PCFLOPm
259230_AT1,SGMS1,0.0,1.2584797342192702,0.0,1.0,LETHAL,optimal,1,SMS
175_AT1,AGA,3.76196659914753e-16,1.2584797342192702,2.989294540751077e-16,0.9999999999999997,LETHAL,optimal,2,GASNASEly;GASNASE2ly
2987_AT1,GUK1,5.642949898721295e-16,1.2584797342192702,4.483941811126615e-16,0.9999999999999996,LETHAL,optimal,2,DGK1;GK1
9791_AT1,PTDSS1,1.880983299573765e-15,1.2584797342192702,1.494647270375538e-15,0.9999999999999986,LETHAL,optimal,1,PSSA1_hs
