gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
2987_AT1,GUK1,-4.705849564008407e-14,1.2720422712933757,-3.699444326817564e-14,1.000000000000037,LETHAL,optimal,2,GK1;DGK1
175_AT1,AGA,-5.228721737787119e-15,1.2720422712933757,-4.11049369646396e-15,1.0000000000000042,LETHAL,optimal,2,GASNASE2ly;GASNASEly
4125_AT1,MAN2B1,-9.682818032939109e-16,1.2720422712933757,-7.612025363822147e-16,1.0000000000000007,LETHAL,optimal,1,A_MANASEly
51727_AT1,CMPK1,-7.746254426351288e-16,1.2720422712933757,-6.089620291057719e-16,1.0000000000000007,LETHAL,optimal,40,UMPK2n;CYTK1n;UMPKn;CYTK8n;CYTK1;UMPK3;CYTK2;CYTK9;CYTK10;UMPK3n
2531_AT1,KDSR,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,1,3DSPHR
4126_AT1,MANBA,-3.873127213175644e-16,1.2720422712933757,-3.0448101455288595e-16,1.0000000000000002,LETHAL,optimal,1,B_MANNASEly
9791_AT1,PTDSS1,0.0,1.2720422712933757,0.0,1.0,LETHAL,optimal,1,PSSA1_hs
11254_AT1,SLC6A14,1.936563606587822e-16,1.2720422712933757,1.5224050727644297e-16,0.9999999999999999,LETHAL,optimal,8,LYSt4;METt4;TRPt4;PHEt4;ILEt4;TYRt4;VALt4;ARGt4
259230_AT1,SGMS1,1.936563606587822e-16,1.2720422712933757,1.5224050727644297e-16,0.9999999999999999,LETHAL,optimal,1,SMS
57194_AT1,ATP10A,3.873127213175644e-16,1.2720422712933757,3.0448101455288595e-16,0.9999999999999997,LETHAL,optimal,3,PCFLOPm;PEFLIPm;PSFLIPm
