reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
GK1,guanylate kinase (GMP:ATP),Unknown,-6.410025537805692e-14,1.2720422712933757,-5.039160790850263e-14,1.0000000000000504,LETHAL,optimal,1,2987_AT1,GUK1,atp_c + gmp_c <=> adp_c + gdp_c
ACGAMtly,N-acetyl-glucosamine lysosomal efflux,Unknown,-5.0544310131942154e-14,1.2720422712933757,-3.973477239915161e-14,1.0000000000000397,LETHAL,optimal,0,,,acgam_l --> N_45_acetyl_45_D_45_glucosamine_c
SMS,Sphingomyelin synthase (homo sapiens),Unknown,-4.066783573834426e-15,1.2720422712933757,-3.1970506528053022e-15,1.000000000000003,LETHAL,optimal,1,259230_AT1,SGMS1,crm_DASH_hs_c + pchol_DASH_hs_c --> DIACYLGLYCEROL_c + sphmyln_DASH_hs_c
ADENOSYLHOMOCYSTEINASE_45_RXN,ADENOSYLHOMOCYSTEINASE-RXN,Unknown,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,3,HS08293;HS02273;HS09809,AHCYL2;AHCY;AHCYL1,ADENOSYL_45_HOMO_45_CYS_c + WATER_c <=> ADENOSINE_c + HOMO_45_CYS_c
PHOSMANMUT_45_RXN,PHOSMANMUT-RXN,Unknown,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,2,HS06747;HS02079,PMM2;PMM1,MANNOSE_45_1P_c <=> CPD_45_15979_c
VALt4,L-valine transport in via sodium symport,Unknown,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,1,11254_AT1,SLC6A14,NA_43__e + val_DASH_DASH_DASH_L_e --> NA_43__c + VAL_c
RXN66_45_457,RXN66-457,Unknown,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,2,HS09071;HS05853,SLC6A18;SLC38A2,LEU_e + NA_43__e <=> LEU_c + NA_43__c
3DSPHR,3-Dehydrosphinganine reductase,Unknown,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,1,2531_AT1,KDSR,3dsphgn_c + NADPH_c + h_c --> nadp_c + sphgn_c
AMETt2m,"S-Adenosyl-L-methionine reversible transport, mitochondrial",Unknown,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,3,115286_AT1;115286_AT3;115286_AT2,SLC25A26;SLC25A26;SLC25A26,ahcys_m + amet_c <=> ADENOSYL_45_HOMO_45_CYS_c + amet_m
A_MANASEly,"alpha-mannosidase, lysosomal",Unknown,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,1,4125_AT1,MAN2B1,2.0 h2o_l + m2mn_l --> 2.0 man_l + mn_l
B_MANNASEly,"beta-mannosidase, lysosomal",Unknown,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,1,4126_AT1,MANBA,h2o_l + mn_l --> acgam_l + man_l
DHCRD1,dihydroceramide desaturase,Unknown,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,2,8560_AT2;8560_AT1,DEGS1;DEGS1,dhcrm_DASH_hs_c + nadp_c --> NADPH_c + crm_DASH_hs_c + h_c
DM_Asn_X_Ser_FSLASH_Thr_LPAREN_ly_RPAREN_,DM Asn-X-Ser/Thr(ly),Unknown,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,0,,,Asn_DASH_DASH_DASH_X_DASH_DASH_DASH_Ser_DASH_FSLASH_DASH_Thr_l --> 
PETOHMm_hs,phosphatidylethanolamine N-methyltransferase,Unknown,-3.873127213175644e-16,1.2720422712933757,-3.0448101455288595e-16,1.0000000000000002,LETHAL,optimal,3,10400_AT1;10400_AT2;10400_AT3,PEMT;PEMT;PEMT,3.0 amet_m + pe_DASH_hs_m --> 3.0 ahcys_m + 3.0 h_m + pchol_DASH_hs_m
DSAT,dihydrosphingosine N-acyltransferase,Unknown,-1.936563606587822e-16,1.2720422712933757,-1.5224050727644297e-16,1.0000000000000002,LETHAL,optimal,0,,,Rtotalcoa_c + sphgn_c --> coa_c + dhcrm_DASH_hs_c + h_c
