gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
4125_AT1,MAN2B1,-1.4164673217868378e-13,1.245638807189539,-1.1371412913689875e-13,1.0000000000001137,LETHAL,optimal,1,A_MANASEly
57194_AT1,ATP10A,-1.8736340235275633e-16,1.245638807189539,-1.5041551473134758e-16,1.0000000000000002,LETHAL,optimal,3,PSFLIPm;PCFLOPm;PEFLIPm
2531_AT1,KDSR,-2.784577001899525e-16,1.245638807189539,-2.2354610227520133e-16,1.0000000000000002,LETHAL,optimal,1,3DSPHR
175_AT1,AGA,0.0,1.245638807189539,0.0,1.0,LETHAL,optimal,2,GASNASEly;GASNASE2ly
51727_AT1,CMPK1,0.0,1.245638807189539,0.0,1.0,LETHAL,optimal,40,CYTK1;UMPK2n;CYTK1n;CYTK8n;CYTK10;UMPK3;CYTK2;CYTK9;CYTK10n;UMPK3n
4126_AT1,MANBA,0.0,1.245638807189539,0.0,1.0,LETHAL,optimal,1,B_MANNASEly
11254_AT1,SLC6A14,0.0,1.245638807189539,0.0,1.0,LETHAL,optimal,8,METt4;LYSt4;VALt4;TRPt4;PHEt4;ILEt4;TYRt4;ARGt4
259230_AT1,SGMS1,1.8736340235275633e-16,1.245638807189539,1.5041551473134758e-16,0.9999999999999999,LETHAL,optimal,1,SMS
9791_AT1,PTDSS1,1.8736340235275633e-16,1.245638807189539,1.5041551473134758e-16,0.9999999999999999,LETHAL,optimal,1,PSSA1_hs
2987_AT1,GUK1,1.1241804141165379e-15,1.245638807189539,9.024930883880854e-16,0.9999999999999991,LETHAL,optimal,2,GK1;DGK1
