gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
2987_AT1,GUK1,-1.3321193275018138e-14,1.2577443108974375,-1.0591336537641006e-14,1.0000000000000107,LETHAL,optimal,2,DGK1;GK1
57194_AT1,ATP10A,-5.70908283215063e-16,1.2577443108974375,-4.539144230417573e-16,1.0000000000000004,LETHAL,optimal,3,PSFLIPm;PEFLIPm;PCFLOPm
9791_AT1,PTDSS1,-3.8060552214337536e-16,1.2577443108974375,-3.0260961536117156e-16,1.0000000000000002,LETHAL,optimal,1,PSSA1_hs
2531_AT1,KDSR,0.0,1.2577443108974375,0.0,1.0,LETHAL,optimal,1,3DSPHR
11254_AT1,SLC6A14,0.0,1.2577443108974375,0.0,1.0,LETHAL,optimal,8,ILEt4;ARGt4;VALt4;TRPt4;PHEt4;TYRt4;METt4;LYSt4
4126_AT1,MANBA,0.0,1.2577443108974375,0.0,1.0,LETHAL,optimal,1,B_MANNASEly
4125_AT1,MAN2B1,0.0,1.2577443108974375,0.0,1.0,LETHAL,optimal,1,A_MANASEly
51727_AT1,CMPK1,0.0,1.2577443108974375,0.0,1.0,LETHAL,optimal,40,CYTK4n;CYTK11n;UMPK4n;CYTK5;CYTK12;UMPK5;CYTK5n;CYTK12n;UMPK5n;CYTK6
175_AT1,AGA,1.9030276107168768e-16,1.2577443108974375,1.5130480768058578e-16,0.9999999999999999,LETHAL,optimal,2,GASNASE2ly;GASNASEly
259230_AT1,SGMS1,1.9030276107168768e-16,1.2577443108974375,1.5130480768058578e-16,0.9999999999999999,LETHAL,optimal,1,SMS
