reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
CHSTEROLt3,Cholesterol intracellular transport,Unknown,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,0,,,chsterol_c <=> chsterol_m
LNSTLSr,Lanosterol synthase,Unknown,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,1,4047_AT1,LSS,Ssq23epx_r --> lanost_r
DMATTx,Dimethylallyltranstransferase,Unknown,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,1,2224_AT1,FDPS,dmpp_x + ipdp_x --> grdp_x + ppi_x
NADPtxu,"NADP transport, glyoxysome",Unknown,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,0,,,nadp_x --> nadp_c
COAtp,"Coenzyme A transport, peroxisomal",Unknown,-7.948158656457902e-16,8.68247832632316,-9.154251076401792e-17,1.0,LETHAL,optimal,0,,,coa_c <=> coa_x
CO2tp,CO2 peroxisomal transport,Unknown,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,0,,,co2_c <=> co2_x
NADPHtxu,"NADPH transport, glyoxysome",Unknown,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,0,,,nadph_c --> nadph_x
PItx,"Phosphate transporter, peroxisome",Unknown,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,0,,,pi_c <=> pi_x
PPAer,"Inorganic diphosphatase, endoplasmic reticulum",Unknown,-1.0588257772034658e-30,8.68247832632316,-1.2194971728214556e-31,1.0,LETHAL,optimal,3,92579_AT1;57818_AT1;2538_AT1,G6PC3;G6PC2;G6PC,h2o_r + ppi_r --> h_r + 2.0 pi_r
HMGCOARx,Hydroxymethylglutaryl CoA reductase (ir),Unknown,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,1,3156_AT1,HMGCR,2.0 h_x + hmgcoa_x + 2.0 nadph_x --> coa_x + mev__R_x + 2.0 nadp_x
O2ter,O2  transport  endoplasmic reticulum,Unknown,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,0,,,o2_c <=> o2_r
SQLSr,Squalene synthase,Unknown,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,1,2222_AT1,FDFT1,2.0 frdp_r + h_r + nadph_r --> nadp_r + 2.0 ppi_r + sql_r
RTOTAL2CRNt,R group transport into the mitochondria,Unknown,1.5219895832240088e-15,8.68247832632316,1.752943717244542e-16,0.9999999999999998,LETHAL,optimal,1,788_AT1,SLC25A20,Rtotal2crn_c --> Rtotal2crn_m
PEFLIP,Phosphatidylethanolamine flippase,Unknown,1.7091018300504261e-15,8.68247832632316,1.968449290416131e-16,0.9999999999999998,LETHAL,optimal,2,57194_AT1;10396_AT1,ATP10A;ATP8A1,atp_c + h2o_c + pe_hs_e --> adp_c + h_c + pe_hs_c + pi_c
SQLEr,Squalene epoxidase  endoplasmic reticular  NADP,Unknown,2.3823099583427404e-15,8.68247832632316,2.7438133086035546e-16,0.9999999999999998,LETHAL,optimal,1,6713_AT1,SQLE,h_r + nadph_r + o2_r + sql_r --> Ssq23epx_r + h2o_r + nadp_r
RTOTAL2CRNCPT2,R group transport into the mitochondria,Unknown,1.5219895832240088e-15,8.68247832632316,1.752943717244542e-16,0.9999999999999998,LETHAL,optimal,1,1376_AT1,CPT2,Rtotal2crn_m + coa_m --> Rtotal2coa_m + crn_m
CHSTEROLt2,Cholesterol intracellular transport,Unknown,3.4182036601008523e-15,8.68247832632316,3.936898580832262e-16,0.9999999999999996,LETHAL,optimal,0,,,chsterol_r <=> chsterol_m
ARTPLM2m,R group to palmitate conversion,Unknown,3.4182036601008523e-15,8.68247832632316,3.936898580832262e-16,0.9999999999999996,LETHAL,optimal,0,,,Rtotal2coa_m <=> pmtcoa_m
ARTCOAL2,R group coenzyme a ligase,Unknown,5.0098632011056074e-15,8.68247832632316,5.77008431557718e-16,0.9999999999999994,LETHAL,optimal,0,,,Rtotal2_c + coa_c <=> Rtotal2coa_c
IPDDIx,Isopentenyl-diphosphate D-isomerase,Unknown,4.645520745656229e-15,8.68247832632316,5.350454756186539e-16,0.9999999999999994,LETHAL,optimal,2,3422_AT1;91734_AT1,IDI1;IDI2,ipdp_x <=> dmpp_x
CRNtim,L carnitine transport out of mitochondria via diffusion,Unknown,5.022728310139832e-15,8.68247832632316,5.7849016391001435e-16,0.9999999999999994,LETHAL,optimal,1,788_AT1,SLC25A20,crn_m --> crn_c
