gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
158_AT2,ADSL,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,2,ADSL2r;ADSL1r
125_AT1,ADH1B,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,7,LCARS;ALCD2x;ALCD21_D;34DHOXPEGOX;ALCD22_L;ALCD1;ALCD22_D
158_AT1,ADSL,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,2,ADSL2r;ADSL1r
9061_AT1,PAPSS1,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,2,SADT;ADSK
124_AT1,ADH1A,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,7,LCARS;ALCD2x;ALCD21_D;34DHOXPEGOX;ALCD22_L;ALCD1;ALCD22_D
114971_AT1,G_114971_AT1,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,1,PGPP_hs
3000_AT1,GUCY2D,8.682478326323174,8.68247832632316,1.0000000000000016,-1.5543122344752192e-15,MINIMAL,optimal,1,GUACYC
3038_AT1,HAS3,8.682478326323174,8.68247832632316,1.0000000000000016,-1.5543122344752192e-15,MINIMAL,optimal,2,HAS2;HAS1
55577_AT1,NAGK,8.682478326323174,8.68247832632316,1.0000000000000016,-1.5543122344752192e-15,MINIMAL,optimal,2,AMANK;ACGAMK
435_AT1,ASL,8.682478326323174,8.68247832632316,1.0000000000000016,-1.5543122344752192e-15,MINIMAL,optimal,1,ARGSL
10020_AT1,GNE,8.682478326323178,8.68247832632316,1.000000000000002,-1.9984014443252818e-15,MINIMAL,optimal,2,UAG2EMA;AMANK
7357_AT1,UGCG,8.682478326323178,8.68247832632316,1.000000000000002,-1.9984014443252818e-15,MINIMAL,optimal,1,UGCG
43_AT1,ACHE,8.682478326323194,8.68247832632316,1.000000000000004,-3.9968028886505635e-15,MINIMAL,optimal,1,ACHEe
7173_AT2,TPO,8.682478326323208,8.68247832632316,1.0000000000000056,-5.551115123125783e-15,MINIMAL,optimal,5,IDHPOXOX4;IDHPOXOX3;THYPX;IDHPOXOX2b;IDHPOXOXb
5631_AT1,PRPS1,8.682478326323293,8.68247832632316,1.0000000000000153,-1.532107773982716e-14,MINIMAL,optimal,1,PRPPS
60482_AT1,SLC5A7,8.682478326323347,8.68247832632316,1.0000000000000215,-2.1538326677728037e-14,MINIMAL,optimal,1,CHOLt4
