gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
2987_AT1,GUK1,-9.485515156779866e-13,8.68247832632316,-1.0924893561809529e-13,1.0000000000001092,LETHAL,optimal,2,DGK1;GK1
51727_AT1,CMPK1,-1.6140973611800286e-14,8.68247832632316,-1.859028379358551e-15,1.0000000000000018,LETHAL,optimal,5,CYTK11n;UMPK5;CYTK3n;CYTK13n;CYTK4n
3156_AT1,HMGCR,-1.1963712810352981e-14,8.68247832632316,-1.3779145032912915e-15,1.0000000000000013,LETHAL,optimal,1,HMGCOARx
2544_AT1,2544_AT1,-8.679276554027362e-15,8.68247832632316,-9.99631237513592e-16,1.000000000000001,LETHAL,optimal,1,PIter
10558_AT1,SPTLC1,-1.0333557312971997e-14,8.68247832632316,-1.1901621777324992e-15,1.000000000000001,LETHAL,optimal,1,SERPT
6307_AT1,MSMO1,-5.127305490151278e-15,8.68247832632316,-5.905347871248393e-16,1.0000000000000007,LETHAL,optimal,2,C4STMO2r;C4STMO1r
788_AT1,SLC25A20,-4.909734719807301e-15,8.68247832632316,-5.654761849415945e-16,1.0000000000000007,LETHAL,optimal,28,LNELDCCRNt;RTOTAL2CRNt;LNLNCACRNt;VACCCRNt;DLNLCGCRNt;C180CRNt;C204CRNt;STRDNCCRNt;PCRNtm;TMNDNCCRNt
6713_AT1,SQLE,-6.088334307488355e-15,8.68247832632316,-7.012207895791699e-16,1.0000000000000007,LETHAL,optimal,1,SQLEr
259230_AT1,SGMS1,-5.131381050473431e-15,8.68247832632316,-5.910041877002253e-16,1.0000000000000007,LETHAL,optimal,1,SMS
4597_AT1,MVD,-3.0407430358222585e-15,8.68247832632316,-3.5021602375942203e-16,1.0000000000000004,LETHAL,optimal,1,DPMVDx
7108_AT1,TM7SF2,-1.8025468561280205e-15,8.68247832632316,-2.0760741212139134e-16,1.0000000000000002,LETHAL,optimal,1,C14STRr
4598_AT1,MVK,-1.7091018300504287e-15,8.68247832632316,-1.968449290416134e-16,1.0000000000000002,LETHAL,optimal,1,MEVK1x
2531_AT1,KDSR,3.1406773943474375e-31,8.68247832632316,3.617259123844477e-32,1.0,LETHAL,optimal,1,3DSPHR
1717_AT1,DHCR7,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,2,DHCR71r;DHCR72r
2222_AT1,FDFT1,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,1,SQLSr
3295_AT1,HSD17B4,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,20,FAOXC260240x;FAOXC183806x;FAOXC200180x;FAOXC2242046x;FAOXC2442246x;HSD17B42x;FAOXC2452253x;C3STKR2r;FAOXC16080x;FAOXC2051843x
4047_AT1,LSS,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,1,LNSTLSr
6309_AT1,SC5D,0.0,8.68247832632316,0.0,1.0,LETHAL,optimal,2,LSTO2r;LSTO1r
1376_AT1,CPT2,2.530101654799041e-15,8.68247832632316,2.914031639017617e-16,0.9999999999999997,LETHAL,optimal,26,DLNLCGCPT2;LNLCCPT2;C180CPT2;LNLNCACPT2;C204CPT2;STRDNCCPT2;TMNDNCCPT2;C161CPT2;PTDCACRNCPT2;ADRNCPT2
1718_AT1,DHCR24,8.721197742222191e-15,8.68247832632316,1.0044594889205358e-15,0.999999999999999,LETHAL,optimal,3,DHCR242r;DHCR243r;DHCR241r
5238_AT1,PGM3,1.1058583538372883e-14,8.68247832632316,1.2736667023798897e-15,0.9999999999999988,LETHAL,optimal,1,ACGAMPM
50814_AT1,NSDHL,1.4023815981370123e-14,8.68247832632316,1.6151858322356335e-15,0.9999999999999983,LETHAL,optimal,4,C4STMO2r;C3STDH1Pr;C3STDH1r;C4STMO2Pr
10654_AT1,PMVK,3.2472934770958093e-14,8.68247832632316,3.740053651790649e-15,0.9999999999999962,LETHAL,optimal,1,PMEVKx
9517_AT1,SPTLC2,3.531102115335838e-14,8.68247832632316,4.066928799154495e-15,0.9999999999999959,LETHAL,optimal,1,SERPT
2224_AT1,FDPS,4.777140677691884e-14,8.68247832632316,5.502047339650427e-15,0.9999999999999944,LETHAL,optimal,2,GRTTx;DMATTx
10682_AT1,EBP,7.349137869216832e-14,8.68247832632316,8.464331948789362e-15,0.9999999999999916,LETHAL,optimal,2,EBP1r;EBP2r
1595_AT1,CYP51A1,1.3134608144782637e-13,8.68247832632316,1.5127717745014926e-14,0.9999999999999849,LETHAL,optimal,1,LNS14DMr
8833_AT1,GMPS,7.406372290216549e-13,8.68247832632316,8.53025140041206e-14,0.9999999999999147,LETHAL,optimal,1,GMPS2
64841_AT1,GNPNAT1,0.22404383459459573,8.68247832632316,0.025804134047228127,0.9741958659527719,SIGNIFICANT,optimal,1,ACGAM6PS
