reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
GK1,guanylate kinase (GMP:ATP),Unknown,-6.250594713595577e-14,1.2517503236245964,-4.993483601023736e-14,1.00000000000005,LETHAL,optimal,1,2987_AT1,GUK1,atp_c + gmp_c <=> adp_c + gdp_c
A_MANASEly,"alpha-mannosidase, lysosomal",Unknown,-4.305545603322633e-14,1.2517503236245964,-3.4396201239680113e-14,1.0000000000000344,LETHAL,optimal,1,4125_AT1,MAN2B1,2.0 h2o_l + m2mn_l --> 2.0 man_l + mn_l
METAT,methionine adenosyltransferase,Unknown,-8.686627094422856e-15,1.2517503236245964,-6.9395844606372164e-15,1.0000000000000069,LETHAL,optimal,4,4143_AT1;27430_AT2;4144_AT1;27430_AT1,MAT1A;MAT2B;MAT2A;MAT2B,MET_c + WATER_c + atp_c --> amet_c + pi_c + ppi_c
ADENOSYLHOMOCYSTEINASE_45_RXN,ADENOSYLHOMOCYSTEINASE-RXN,Unknown,-1.8883971944397512e-16,1.2517503236245964,-1.5086053175298297e-16,1.0000000000000002,LETHAL,optimal,3,HS09809;HS08293;HS02273,AHCYL1;AHCYL2;AHCY,ADENOSYL_45_HOMO_45_CYS_c + WATER_c <=> ADENOSINE_c + HOMO_45_CYS_c
ACGAMtly,N-acetyl-glucosamine lysosomal efflux,Unknown,-1.8883971944397512e-16,1.2517503236245964,-1.5086053175298297e-16,1.0000000000000002,LETHAL,optimal,0,,,acgam_l --> N_45_acetyl_45_D_45_glucosamine_c
MANtly,mannose efflux from lysosome,Unknown,-1.8883971944397512e-16,1.2517503236245964,-1.5086053175298297e-16,1.0000000000000002,LETHAL,optimal,0,,,man_l --> D_45_mannopyranose_c
PETOHMm_hs,phosphatidylethanolamine N-methyltransferase,Unknown,-1.8883971944397512e-16,1.2517503236245964,-1.5086053175298297e-16,1.0000000000000002,LETHAL,optimal,3,10400_AT1;10400_AT3;10400_AT2,PEMT;PEMT;PEMT,3.0 amet_m + pe_DASH_hs_m --> 3.0 ahcys_m + 3.0 h_m + pchol_DASH_hs_m
PRPPS,phosphoribosylpyrophosphate synthetase,Unknown,-1.8883971944397512e-16,1.2517503236245964,-1.5086053175298297e-16,1.0000000000000002,LETHAL,optimal,4,5634_AT1;5631_AT1;221823_AT2;221823_AT1,PRPS2;PRPS1;PRPS1L1;PRPS1L1,atp_c + r5p_c <=> amp_c + h_c + prpp_c
VALt4,L-valine transport in via sodium symport,Unknown,-1.8883971944397512e-16,1.2517503236245964,-1.5086053175298297e-16,1.0000000000000002,LETHAL,optimal,1,11254_AT1,SLC6A14,NA_43__e + val_DASH_DASH_DASH_L_e --> NA_43__c + VAL_c
PHOSMANMUT_45_RXN,PHOSMANMUT-RXN,Unknown,0.0,1.2517503236245964,0.0,1.0,LETHAL,optimal,2,HS06747;HS02079,PMM2;PMM1,MANNOSE_45_1P_c <=> CPD_45_15979_c
2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,Unknown,0.0,1.2517503236245964,0.0,1.0,LETHAL,optimal,7,160287_AT1;3948_AT1;3948_AT2;92483_AT1;55293_AT1;3945_AT1;3939_AT1,LDHAL6A;LDHC;LDHC;LDHAL6B;UEVLD;LDHB;LDHA,2hb_c + nad_c <=> 2obut_c + h_c + nadh_c
2HBt2,2-hydroxybutyrate cotransport with proton,Unknown,0.0,1.2517503236245964,0.0,1.0,LETHAL,optimal,3,9123_AT1;6566_AT1;9194_AT1,SLC16A3;SLC16A1;SLC16A7,2hb_e + h_e <=> 2hb_c + h_c
AMETt2m,"S-Adenosyl-L-methionine reversible transport, mitochondrial",Unknown,0.0,1.2517503236245964,0.0,1.0,LETHAL,optimal,3,115286_AT2;115286_AT3;115286_AT1,SLC25A26;SLC25A26;SLC25A26,ahcys_m + amet_c <=> ADENOSYL_45_HOMO_45_CYS_c + amet_m
B_MANNASEly,"beta-mannosidase, lysosomal",Unknown,0.0,1.2517503236245964,0.0,1.0,LETHAL,optimal,1,4126_AT1,MANBA,h2o_l + mn_l --> acgam_l + man_l
DM_Asn_X_Ser_FSLASH_Thr_LPAREN_ly_RPAREN_,DM Asn-X-Ser/Thr(ly),Unknown,0.0,1.2517503236245964,0.0,1.0,LETHAL,optimal,0,,,Asn_DASH_DASH_DASH_X_DASH_DASH_DASH_Ser_DASH_FSLASH_DASH_Thr_l --> 
METt4,L-methionine transport in via sodium symport,Unknown,0.0,1.2517503236245964,0.0,1.0,LETHAL,optimal,4,54407_AT1;81539_AT1;6584_AT1;11254_AT1,SLC38A2;SLC38A1;SLC22A5;SLC6A14,NA_43__e + met_DASH_DASH_DASH_L_e --> MET_c + NA_43__c
RXN66_45_457,RXN66-457,Unknown,1.8883971944397512e-16,1.2517503236245964,1.5086053175298297e-16,0.9999999999999999,LETHAL,optimal,2,HS05853;HS09071,SLC38A2;SLC6A18,LEU_e + NA_43__e <=> LEU_c + NA_43__c
3DSPHR,3-Dehydrosphinganine reductase,Unknown,1.8883971944397512e-16,1.2517503236245964,1.5086053175298297e-16,0.9999999999999999,LETHAL,optimal,1,2531_AT1,KDSR,3dsphgn_c + NADPH_c + h_c --> nadp_c + sphgn_c
DHCRD1,dihydroceramide desaturase,Unknown,1.8883971944397512e-16,1.2517503236245964,1.5086053175298297e-16,0.9999999999999999,LETHAL,optimal,2,8560_AT1;8560_AT2,DEGS1;DEGS1,dhcrm_DASH_hs_c + nadp_c --> NADPH_c + crm_DASH_hs_c + h_c
DSAT,dihydrosphingosine N-acyltransferase,Unknown,1.8883971944397512e-16,1.2517503236245964,1.5086053175298297e-16,0.9999999999999999,LETHAL,optimal,0,,,Rtotalcoa_c + sphgn_c --> coa_c + dhcrm_DASH_hs_c + h_c
ILEt4,L-isoleucine transport in via sodium symport,Unknown,1.8883971944397512e-16,1.2517503236245964,1.5086053175298297e-16,0.9999999999999999,LETHAL,optimal,1,11254_AT1,SLC6A14,NA_43__e + ile_DASH_DASH_DASH_L_e --> ILE_c + NA_43__c
