reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_genes,gene_ids,gene_names,equation
HMR_2016,3 (Or 17)Alpha-Hydroxysteroid Dehydrogenase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,4,1645.1;1646.1;1109.1;8644.1,G_1645__46__1;G_1646__46__1;G_1109__46__1;G_8644__46__1,andrstandn[c] + h[c] + nadh[c] --> andrstrn[c] + nad[c]
HMR_2018,3 (Or 17)Alpha-Hydroxysteroid Dehydrogenase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,4,1645.1;1646.1;1109.1;8644.1,G_1645__46__1;G_1646__46__1;G_1109__46__1;G_8644__46__1,andrstandn[c] + h[c] + nadph[c] --> andrstrn[c] + nadp[c]
HMR_2029,Unspecific Monooxygenase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,28,1573.1;11283.1;199974.1;260293.1;1571.1;29785.1;57834.1;1588.1;1576.1;1553.1,G_1573__46__1;G_11283__46__1;G_199974__46__1;G_260293__46__1;G_1571__46__1;G_29785__46__1;G_57834__46__1;G_1588__46__1;G_1576__46__1;G_1553__46__1,2.0 h[c] + o2[c] + tststerone[c] --> h2o[c] + whtststerone[c]
HMR_2030,Unspecific Monooxygenase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,28,1573.1;11283.1;199974.1;260293.1;1571.1;29785.1;57834.1;1588.1;1576.1;1553.1,G_1573__46__1;G_11283__46__1;G_199974__46__1;G_260293__46__1;G_1571__46__1;G_29785__46__1;G_57834__46__1;G_1588__46__1;G_1576__46__1;G_1553__46__1,o2[c] + whtststerone[c] --> M00434[c] + h2o2[c]
HMR_2031,Unspecific Monooxygenase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,28,1573.1;11283.1;199974.1;260293.1;1571.1;29785.1;57834.1;1588.1;1576.1;1553.1,G_1573__46__1;G_11283__46__1;G_199974__46__1;G_260293__46__1;G_1571__46__1;G_29785__46__1;G_57834__46__1;G_1588__46__1;G_1576__46__1;G_1553__46__1,M00434[c] + h[c] + o2[c] --> estradiol[c] + for[c] + h2o[c]
HMR_2032,Unspecific Monooxygenase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,28,1573.1;11283.1;199974.1;260293.1;1571.1;29785.1;57834.1;1588.1;1576.1;1553.1,G_1573__46__1;G_11283__46__1;G_199974__46__1;G_260293__46__1;G_1571__46__1;G_29785__46__1;G_57834__46__1;G_1588__46__1;G_1576__46__1;G_1553__46__1,andrstndn[c] + 2.0 h[c] + o2[c] --> M00431[c] + h2o[c]
HMR_2033,Unspecific Monooxygenase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,28,1573.1;11283.1;199974.1;260293.1;1571.1;29785.1;57834.1;1588.1;1576.1;1553.1,G_1573__46__1;G_11283__46__1;G_199974__46__1;G_260293__46__1;G_1571__46__1;G_29785__46__1;G_57834__46__1;G_1588__46__1;G_1576__46__1;G_1553__46__1,M00431[c] + o2[c] --> M00433[c] + h2o2[c]
HMR_2034,Unspecific Monooxygenase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,28,1573.1;11283.1;199974.1;260293.1;1571.1;29785.1;57834.1;1588.1;1576.1;1553.1,G_1573__46__1;G_11283__46__1;G_199974__46__1;G_260293__46__1;G_1571__46__1;G_29785__46__1;G_57834__46__1;G_1588__46__1;G_1576__46__1;G_1553__46__1,M00433[c] + h[c] + o2[c] --> estrone[c] + for[c] + h2o[c]
HMR_2041,17Beta-Estradiol 17-Dehydrogenase,Steroid metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,8,51144.1;3294.1;8630.1;51478.1;158160.1;7923.1;51170.1;3292.1,G_51144__46__1;G_3294__46__1;G_8630__46__1;G_51478__46__1;G_158160__46__1;G_7923__46__1;G_51170__46__1;G_3292__46__1,estrone[r] + h[c] + nadph[r] --> estradiol[r] + nadp[r]
HMR_2061,Peroxidase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,5,7173.1;8288.1;9588.1;4025.1;4353.1,G_7173__46__1;G_8288__46__1;G_9588__46__1;G_4025__46__1;G_4353__46__1,C05298[c] + h2o2[c] <=> CE5256[c] + 2.0 h2o[c]
