gene_id,gene_name,host_flux,host_baseline,host_growth_pct,host_status,num_reactions,reactions,virus_flux,virus_baseline,virus_growth_pct,virus_status,selectivity_score,target_class
114971.1,G_114971__46__1,0.0,0.009796660514363866,0.0,LETHAL,3,HMR_7618;HMR_9578;PGPP_hs,0.0,0.029528056441593797,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
2820.1,G_2820__46__1,0.0,0.009796660514363866,0.0,LETHAL,3,HMR_0482;r0205;G3PD2m,0.0,0.029528056441593797,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
2180.1,G_2180__46__1,0.0,0.009796660514363866,0.0,LETHAL,134,HMR_2986;HMR_0192;HMR_2998;HMR_2947;HMR_2964;HMR_2977;RE3562R;RE3446R;HMR_2944;r1487,0.0,0.029528056441593797,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
2531.1,G_2531__46__1,0.0,0.009796660514363866,0.0,LETHAL,1,3DSPHR,0.0,0.029528056441593797,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
1723.1,G_1723__46__1,0.0,0.009796660514363866,0.0,LETHAL,1,DHORD9,0.0,0.029528056441593797,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
54675.1,G_54675__46__1,0.0,0.009796660514363866,0.0,LETHAL,2,HMR_0586;CLS_hs,0.0,0.029528056441593797,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
7372.1,G_7372__46__1,0.0,0.009796660514363866,0.0,LETHAL,2,OMPDC;ORPT,0.0,0.029528056441593797,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
3712.1,G_3712__46__1,0.0,0.009796660514363866,0.0,LETHAL,2,ACOAD8m;r0655,0.0,0.029528056441593797,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
51727.1,G_51727__46__1,0.0,0.009796660514363866,0.0,LETHAL,40,CYTK14n;CYTK6n;CYTK2;CYTK11;UMPK5n;UMPKn;CYTK8n;CYTK9n;UMPK4n;UMPK7n,0.0,0.029528056441593797,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
9517.1,G_9517__46__1,0.0,0.009796660514363866,0.0,LETHAL,1,SERPT,0.0,0.029528056441593797,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
259230.1,G_259230__46__1,0.0,0.009796660514363866,0.0,LETHAL,18,SMS2;SMS7;SMS4;SMS1S2;SMS10;SMS1;SMS16;SMS13;SMS3;SMS,0.0,0.029528056441593797,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
