gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_reactions,reactions
25902_AT1,MTHFD1L,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,MTHFCm;MTHFDm;FTHFLmi
3029_AT1,HAGH,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GLYOX
80308_AT1,FLAD1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,FMNAT
1719_AT1,DHFR,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,FOLR2;DHFR
6513_AT1,SLC2A1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,5,DHAAt1r;GALt1r;GAMt1r;MANt1r;GLCt1
1716_AT4,DGUOK,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,DGNSKm
5208_AT1,PFKFB2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,PFK26;FBP26
2203_AT1,FBP1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,FBP26;FBP
1340_AT1,COX6B1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
9167_AT1,COX7A2L,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
1716_AT2,DGUOK,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,DGNSKm
9377_AT1,COX5A,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
8789_AT1,FBP2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,FBP26;FBP
229_AT1,ALDOB,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,FBA;FBA4;FBA2
226_AT2,ALDOA,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,FBA;FBA4;FBA2
170712_AT1,COX7B2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
1716_AT3,DGUOK,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,DGNSKm
1351_AT1,COX8A,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
84701_AT1,COX4I2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
1716_AT5,DGUOK,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,DGNSKm
226_AT3,ALDOA,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,FBA;FBA4;FBA2
5207_AT1,PFKFB1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,PFK26;FBP26
5210_AT1,PFKFB4,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,PFK26;FBP26
1349_AT1,COX7B,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
1339_AT1,COX6A2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
11309_AT1,SLCO2B1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ESTRONESt
79901_AT1,CYBRD1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,FE3R2e
1345_AT1,COX6C,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
4512_AT1,COX1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
