reaction_id,reaction_name,subsystem,host_flux,host_baseline,host_growth_pct,host_status,num_genes,gene_ids,gene_names,equation,virus_flux,virus_baseline,virus_growth_pct,virus_status,selectivity_score,target_class
34DHPHEt,"3,4-Dihydroxy-L-phenylalanine transport",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,117247_AT1,SLC16A10,34dhphe_e <=> 34dhphe_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
AADSACYCL,AAPSAS,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,h2o_c + h_c + thp2c_c --> L2aadp6sa_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
34DHALDD,Aldehyde dehydrogenase  3 4 dihydroxyphenylacetaldehyde  NAD,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,4,218_AT1;222_AT1;220_AT1;221_AT1,ALDH3A1;ALDH3B2;ALDH1A3;ALDH3B1,34dhpac_c + h2o_c + nad_c --> 34dhpha_c + 2.0 h_c + nadh_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
CYTK1m,"Cytidylate kinase (CMP),mitochondrial",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,129607_AT1,G_129607_AT1,atp_m + cmp_m <=> adp_m + cdp_m,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
34DHXMANDACOX_NADP,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,2,222_AT1;221_AT1,ALDH3B2;ALDH3B1,34dhmald_c + h2o_c + nadp_c <=> 34dhoxmand_c + 2.0 h_c + nadph_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,3,218_AT1;220_AT1;221_AT1,ALDH3A1;ALDH1A3;ALDH3B1,34dhmald_c + h2o_c + nad_c --> 34dhoxmand_c + 2.0 h_c + nadh_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
5AOPtm,5 Aminolevulinate mitochondrial transport,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,5aop_c <=> 5aop_m,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,2,4128_AT1;4129_AT1,MAOA;MAOB,adrnl_c + h2o_c + o2_c --> 34dhmald_c + h2o2_c + mma_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
AACTtm,Aminoacetone transport (mitochondrial),Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,aact_m --> aact_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,8639_AT1,AOC3,aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
CYTK3,Cytidylate kinase (CMP)(GTP),Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,2,26289_AT1;26289_AT2,AK5;AK5,cmp_c + gtp_c <=> cdp_c + gdp_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
10FTHF7GLUtl,"7-glutamyl-10FTHF transport, lysosomal",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,10fthf7glu_c --> 10fthf7glu_l,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
CYTK3n,"Cytidylate kinase (dCMP,CTP),nuclear",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,51727_AT1,CMPK1,ctp_n + dcmp_n <=> cdp_n + dcdp_n,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,3hibutcoa_m + h2o_m --> 3hmp_m + coa_m + h_m,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
2MCITt,2-methylcitrate transport via diffusion,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,2mcit_c <=> 2mcit_e,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
2HBt2,2 hydroxybutyrate cotransport with proton,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,3,6566_AT1;9123_AT1;9194_AT1,SLC16A1;SLC16A3;SLC16A7,2hb_e + h_e <=> 2hb_c + h_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
2HCO3_NAt,Bicarbonate transport (Na/HCO3 1:2 cotransport),Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,5,57835_AT3;57835_AT4;8671_AT1;57835_AT2;57835_AT1,SLC4A5;SLC4A5;SLC4A4;SLC4A5;SLC4A5,2.0 hco3_e + na1_e <=> 2.0 hco3_c + na1_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
5ADTSTSTERONEGLCte,Glucuronidated compound transport,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,4363_AT1,ABCC1,5adtststeroneglc_c + atp_c + h2o_c --> 5adtststeroneglc_e + adp_c + h_c + pi_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
4MOPt2im,4-methyl-2-oxopentanoate mitochondrial transport  via proton symport,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,4mop_c + h_c --> 4mop_m + h_m,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
DADA,Deoxyadenosine deaminase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,100_AT1,ADA,dad_2_c + h2o_c + h_c --> din_c + nh4_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
DADAe,"Deoxyadenosine deaminase, extracellular",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,100_AT1,ADA,dad_2_e + h2o_e + h_e --> din_e + nh4_e,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
DADNt4,Deoxyadenosine transport via diffusion,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,3177_AT1,SLC29A2,dad_2_e <=> dad_2_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
4MTOLBUTAMIDEte,Xenobiotic transport,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,4mtolbutamide_e <=> 4mtolbutamide_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
4NPHSFte,Xenobiotic transport,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,4nphsf_e <=> 4nphsf_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
3HAO,3 hydroxyanthranilate 3 4 dioxygenase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,23498_AT1,HAAO,3hanthrn_c + o2_c --> cmusa_c + h_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
4NPHSULT,4-Nitrophenol Sulfotransferase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,10,6817_AT5;6817_AT3;6817_AT4;6799_AT1;6818_AT2;6799_AT2;6818_AT3;6817_AT1;6818_AT1;6817_AT2,SULT1A1;SULT1A1;SULT1A1;SULT1A2;SULT1A3;SULT1A2;SULT1A3;SULT1A1;SULT1A3;SULT1A1,4nph_c + paps_c --> 4nphsf_c + h_c + pap_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
