target_id,knockout_type,virus_fva_min,virus_fva_max,host_fva_min,host_fva_max,status
ACGAMPM,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
UAG2EMA,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
GF6PTA,reaction,0.0,0.0,0.00016618509917925903,0.0004774272400886105,ok
UDPG4E,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
UAGDP,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
GALUi,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
AMANK,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
MAN6PI,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
ACNMCT,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
r0782,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
ACNAMPH,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
GMAND,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
PMANM,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
ACGAM6PS,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
PGMT,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
ACNAM9PL,reaction,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
LINOFATPtc,reaction,0.0030146013684465792,0.0033495570760517543,0.00042968451607974947,0.0004774272400886105,ok
10020_AT1,gene,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
64841_AT1,gene,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
55907_AT1,gene,0.0,0.0,0.00016618509917926778,0.0004774272400886105,ok
2762_AT1,gene,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
54187_AT1,gene,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
4351_AT1,gene,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
5238_AT1,gene,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
7264_AT1,gene,0.0,0.0,0.00042968451607974947,0.0004774272400886105,ok
