reaction_id,reaction_name,subsystem,host_flux,host_baseline,host_growth_pct,host_status,num_genes,gene_ids,gene_names,equation,virus_flux,virus_baseline,virus_growth_pct,virus_status,selectivity_score,target_class
CRNtim,L carnitine transport out of mitochondria via diffusion,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,788_AT1,SLC25A20,crn_m --> crn_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
PPAer,"Inorganic diphosphatase, endoplasmic reticulum",Unknown,0.0,0.23437252228949343,0.0,LETHAL,3,57818_AT1;92579_AT1;2538_AT1,G6PC2;G6PC3;G6PC,h2o_r + ppi_r --> h_r + 2.0 pi_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
PItx,"Phosphate transporter, peroxisome",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,pi_c <=> pi_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
PIter,"Phosphate transport, endoplasmic reticulum",Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,2544_AT1,2544_AT1,pi_r <=> pi_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
PMEVKx,Phosphomevalonate kinase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,10654_AT1,PMVK,5pmev_x + atp_x --> 5dpmev_x + adp_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
DMATTx,Dimethylallyltranstransferase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,2224_AT1,FDPS,dmpp_x + ipdp_x --> grdp_x + ppi_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
C14STRr,C-14 sterol reductase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,7108_AT1,TM7SF2,44mctr_r + h_r + nadph_r --> 44mzym_r + nadp_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
O2t,O2 transport  diffusion,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,o2_e <=> o2_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
O2ter,O2  transport  endoplasmic reticulum,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,o2_c <=> o2_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
PEFLIP,Phosphatidylethanolamine flippase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,2,57194_AT1;10396_AT1,ATP10A;ATP8A1,atp_c + h2o_c + pe_hs_e --> adp_c + h_c + pe_hs_c + pi_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
C3STKR2r,C-3 sterol keto reductase (zymosterol),Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,3295_AT1,HSD17B4,h_r + nadph_r + zym_int2_r --> nadp_r + zymst_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
GMPS2,GMP synthase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,8833_AT1,GMPS,atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
MEVK1x,Mevalonate kinase (atp),Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,4598_AT1,MVK,atp_x + mev__R_x --> 5pmev_x + adp_x + h_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
DSAT,Dihydrosphingosine N-acyltransferase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,Rtotalcoa_c + sphgn_c --> coa_c + dhcrm_hs_c + h_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
FADH2tru,"FADH2 transporter, endoplasmic reticulum",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,fadh2_c --> fadh2_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
RTOTAL2CRNCPT1,Carnitine fatty-acyl transferase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,6,1375_AT2;1374_AT1;1375_AT3;126129_AT1;1375_AT4;1375_AT1,CPT1B;CPT1A;CPT1B;CPT1C;CPT1B;CPT1B,Rtotal2coa_c + crn_c --> Rtotal2crn_c + coa_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
CO2ter,CO2 endoplasmic reticular transport via diffusion,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,co2_c <=> co2_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
ARTCOAL1,R group coenzyme a ligase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,Rtotal_c + coa_c <=> Rtotalcoa_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
HMGCOARx,Hydroxymethylglutaryl CoA reductase (ir),Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,3156_AT1,HMGCR,2.0 h_x + hmgcoa_x + 2.0 nadph_x --> coa_x + mev__R_x + 2.0 nadp_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
ARTCOAL2,R group coenzyme a ligase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,Rtotal2_c + coa_c <=> Rtotal2coa_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
HMGCOAS,Hydroxymethylglutaryl CoA synthase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,2,3157_AT1;3157_AT2,HMGCS1;HMGCS1,coa_c + h_c + hmgcoa_c <-- aacoa_c + accoa_c + h2o_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
HMGCOAtx,Hydroxymethylglutaryl-CoA reversible peroxisomal transport,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,hmgcoa_c <=> hmgcoa_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
FORtr,"FOR transporter, endoplasmic reticulum",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,for_c <=> for_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
IPDDIx,Isopentenyl-diphosphate D-isomerase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,2,91734_AT1;3422_AT1,IDI2;IDI1,ipdp_x <=> dmpp_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
SQLSr,Squalene synthase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,2222_AT1,FDFT1,2.0 frdp_r + h_r + nadph_r --> nadp_r + 2.0 ppi_r + sql_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
SQLEr,Squalene epoxidase  endoplasmic reticular  NADP,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,6713_AT1,SQLE,h_r + nadph_r + o2_r + sql_r --> Ssq23epx_r + h2o_r + nadp_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
Htx,"H transporter, peroxisome",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,h_c <=> h_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
ADPtx,"ADP transporter, peroxisomal",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,adp_c <=> adp_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
LNS14DMr,Cytochrome P450 lanosterol 14-alpha-demethylase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,1595_AT1,CYP51A1,2.0 h_r + lanost_r + 3.0 nadph_r + 3.0 o2_r --> 44mctr_r + for_r + 4.0 h2o_r + 3.0 nadp_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
LNSTLSr,Lanosterol synthase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,4047_AT1,LSS,Ssq23epx_r --> lanost_r,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
SMS,Sphingomyelin synthase (homo sapiens),Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,259230_AT1,SGMS1,crm_hs_c + pchol_hs_c --> dag_hs_c + sphmyln_hs_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
IMPD,IMP dehydrogenase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,3,3614_AT1;3614_AT2;3615_AT1,IMPDH1;IMPDH1;IMPDH2,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
SERPT,Serine C palmitoyltransferase,Unknown,0.0,0.23437252228949343,0.0,LETHAL,2,9517_AT1;10558_AT1,SPTLC2;SPTLC1,h_c + pmtcoa_c + ser__L_c --> 3dsphgn_c + co2_c + coa_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
ARTPLM2m,R group to palmitate conversion,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,Rtotal2coa_m <=> pmtcoa_m,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
RTOTAL2CRNt,R group transport into the mitochondria,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,788_AT1,SLC25A20,Rtotal2crn_c --> Rtotal2crn_m,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
RTOTAL2CRNCPT2,R group transport into the mitochondria,Unknown,0.0,0.23437252228949343,0.0,LETHAL,1,1376_AT1,CPT2,Rtotal2crn_m + coa_m --> Rtotal2coa_m + crn_m,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
CO2tp,CO2 peroxisomal transport,Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,co2_c <=> co2_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
FADtru,"FAD transporter, endoplasmic reticulum",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,fad_r --> fad_c,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
ATPtx,"ATP transporter, peroxisomal",Unknown,0.0,0.23437252228949343,0.0,LETHAL,0,,,atp_c <=> atp_x,0.0,0.2814317775193228,0.0,LETHAL,0.0,CRITICAL_VIRAL_TARGET
