subsystem,total_reactions,critical_viral_targets,high_confidence_targets,selective_targets,non_selective_toxic,not_a_target,avg_host_growth_pct,avg_virus_growth_pct,avg_selectivity_score,max_selectivity_score,essentiality_score,sample_selective_reactions
Chondroitin synthesis,44,0,0,0,0,44,100.00000000045473,100.00000000098184,-5.271077312003895e-10,0.0,0.0,
Heparan sulfate degradation,27,0,0,0,0,27,100.00000000045472,100.00000000108705,-6.323277703914856e-10,0.0,0.0,
C5-branched dibasic acid metabolism,4,0,0,0,0,4,100.00000000045472,100.00000000560748,-5.15275644374924e-09,-1.4032508488526219e-09,0.0,
R group synthesis,5,0,0,0,0,5,100.00000000045472,100.00000000185796,-1.4032366379979067e-09,-1.4032366379979067e-09,0.0,
Biotin metabolism,1,0,0,0,0,1,100.00000000045472,100.00000000140325,-9.485319196755881e-10,-9.485319196755881e-10,0.0,
Alkaloid synthesis,1,0,0,0,0,1,100.00000000045472,100.00000000140321,-9.484892871114425e-10,-9.484892871114425e-10,0.0,
Drug metabolism,46,0,0,0,0,46,100.0,100.00000000103178,-1.031777253007496e-09,-8.834888376441086e-10,0.0,
Leukotriene metabolism,12,0,0,0,0,12,99.99999999999999,100.00000000104586,-1.0458881168536511e-09,-8.834746267893934e-10,0.0,
Ubiquinone synthesis,1,0,0,0,0,1,100.00000000045472,100.00000000088352,-4.2879833017650526e-10,-4.2879833017650526e-10,0.0,
Taurine and hypotaurine metabolism,1,0,0,0,0,1,100.0000000004547,100.00000000088349,-4.2878411932179006e-10,-4.2878411932179006e-10,0.0,
Vitamin D metabolism,3,0,0,0,0,3,100.0000000004547,100.00000000088347,-4.2876043456393137e-10,-4.2875569761235965e-10,0.0,
Butanoate metabolism,2,0,0,0,0,2,100.00000000045472,100.00000000114332,-6.886153869345435e-10,-4.2872727590292925e-10,0.0,
Alanine and aspartate metabolism,6,0,0,0,0,6,100.00000000037892,100.00000000147251,-1.093579745277869e-09,-1.1368683772161603e-13,0.0,
Heme degradation,3,0,0,0,0,3,100.0000000004547,100.00000000108706,-6.323451392139153e-10,-1.4210854715202004e-14,0.0,
Nucleotide salvage pathway,3,0,0,0,0,3,100.00000000044605,100.00000000123862,-7.925725261278179e-10,-1.4210854715202004e-14,0.0,
Peptide metabolism,242,0,0,0,0,242,100.00000000185793,100.00000000185794,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,
Glycosphingolipid metabolism,46,0,0,0,0,46,100.00000000001975,100.00000000001977,-2.5023461563725268e-14,0.0,0.0,
Thiamine metabolism,1,0,0,0,0,1,100.00000000045472,100.00000000045472,0.0,0.0,0.0,
Squalene and cholesterol synthesis,6,0,0,0,0,6,100.00000000092247,100.00000000185797,-9.354887235228186e-10,0.0,0.0,
ROS detoxification,6,0,0,0,0,6,100.00000000077087,100.00000000108055,-3.0968531442946795e-10,0.0,0.0,
Glyoxylate and dicarboxylate metabolism,9,0,0,0,0,9,100.00000000050957,100.00000000134835,-8.387751727746541e-10,0.0,0.0,
Pyrimidine catabolism,22,0,0,0,0,22,100.00000000052027,100.00000000088401,-3.6374555892590166e-10,4.547473508864641e-10,0.0,
Chondroitin sulfate degradation,44,0,0,0,0,44,100.0000000004547,100.00000000115341,-6.986753801770233e-10,0.0,0.0,
Vitamin C metabolism,3,0,0,0,0,3,100.0000000004547,100.00000000076223,-3.0750868518225616e-10,4.547331400317489e-10,0.0,
Tetrahydrobiopterin metabolism,15,0,0,0,0,15,100.0000000006401,100.00000000060369,3.638357763217452e-11,1.4032366379979067e-09,0.0,
Phosphatidylinositol phosphate metabolism,34,0,0,0,0,34,100.00000000049599,100.00000000081174,-3.157539066812794e-10,4.547473508864641e-10,0.0,
N-glycan metabolism,16,0,0,0,0,16,100.00000000174182,100.0000000000552,1.6866428254047605e-09,1.8579839888843708e-09,0.0,
"Transport, lysosomal",159,0,0,0,0,159,100.0000000004195,100.0000000011531,-7.33604807928199e-10,1.8579839888843708e-09,0.0,
Nucleotide metabolism,5,0,0,0,0,5,100.00000000185794,99.99999999999997,1.8579726202005986e-09,1.8579839888843708e-09,0.0,
O-glycan metabolism,10,0,0,0,0,10,100.00000000073537,100.00000000088349,-1.4812968629485114e-10,1.8579839888843708e-09,0.0,
Selenoamino acid metabolism,1,0,0,0,0,1,100.00000000185796,99.99999999999997,1.8579839888843708e-09,1.8579839888843708e-09,0.0,
Xenobiotics metabolism,1,0,0,0,0,1,100.00000000185796,99.99999999999997,1.8579839888843708e-09,1.8579839888843708e-09,0.0,
Phenylalanine metabolism,24,0,0,0,0,24,100.00000000150715,100.00000000067833,8.288143504842083e-10,1.8579839888843708e-09,0.0,
Protein modification,5,0,0,0,0,5,100.00000000148637,100.00000000037156,1.1147932355015656e-09,1.8579839888843708e-09,0.0,
Vitamin A metabolism,11,0,0,0,0,11,100.00000000083742,100.00000000045826,3.7914172811393985e-10,1.8579839888843708e-09,0.0,
"Transport, golgi apparatus",58,0,0,0,0,58,100.00000000048095,100.0000000010941,-6.131449677484163e-10,1.8579839888843708e-09,0.0,
Lysine metabolism,15,0,0,0,0,15,100.00000000076395,100.00000000045215,3.118212058931628e-10,1.8579839888843708e-09,0.0,
"Transport, nuclear",42,0,0,0,0,42,90.47619047665913,100.00000000061115,-9.523809523952034,1.8607835272632656e-09,0.0,
Inositol phosphate metabolism,46,0,0,0,0,46,100.00000000141112,100.00000000117886,2.3229495621743135e-10,1.8607835272632656e-09,0.0,
"Transport, endoplasmic reticular",141,0,0,0,0,141,100.00000000044191,100.00000000064178,-1.9987184169357732e-10,2.809841248563316e-09,0.0,
Purine catabolism,27,0,0,0,0,27,100.0000000006978,100.00000000064999,4.7817947132797495e-11,2.809841248563316e-09,0.0,
"Transport, mitochondrial",248,0,0,0,0,248,99.67537689103835,100.00000000022598,-0.3246231091876389,4.215503679461108e-08,0.0,
Arachidonic acid metabolism,21,0,0,0,0,21,100.00000000021655,99.99999998372252,1.6494024770335748e-08,5.8038779116031947e-08,0.0,
Eicosanoid metabolism,76,0,0,0,0,76,100.00000000040089,99.99999998300301,1.739787205529434e-08,5.8038779116031947e-08,0.0,
Protein degradation,5,0,0,0,0,5,99.67032289543006,98.23295335743623,1.4373695379938254,7.186847682537362,0.0,
Tryptophan metabolism,31,0,0,0,0,31,100.00000000059053,100.00000000073557,-1.4500985358726242e-10,1.8579839888843708e-09,0.0,
"Transport, peroxisomal",83,0,0,0,0,83,100.00000000049023,100.00000000080774,-3.1750388128543764e-10,1.8579839888843708e-09,0.0,
Histidine metabolism,5,0,0,0,0,5,100.00000000064443,100.00000000111477,-4.703395006799837e-10,4.547757725958945e-10,0.0,
Protein assembly,4,0,0,0,0,4,100.00000000139346,100.0000000004645,9.289671254464338e-10,1.8579413563202252e-09,0.0,
Tyrosine metabolism,45,0,0,0,0,45,100.00000000035364,100.00000000092682,-5.731657716346995e-10,4.547757725958945e-10,0.0,
Oxidative phosphorylation,6,0,0,0,0,6,100.00000000077092,100.00000000106537,-2.944560151263431e-10,5.197478003537981e-10,0.0,
CoA synthesis,14,0,0,0,0,14,100.0000000006227,100.0000000006858,-6.311852627862078e-11,1.4032224271431915e-09,0.0,
Nucleotide interconversion,130,0,0,0,0,130,97.88068936594733,100.00000000078717,-2.1193106348398425,1.4032224271431915e-09,0.0,
Bile acid synthesis,38,0,0,0,0,38,100.00000000058054,100.0000000007888,-2.0822305283505365e-10,1.403265059707337e-09,0.0,
Blood group synthesis,34,0,0,0,0,34,100.000000000496,100.0000000010494,-5.53386983296257e-10,1.7143548802778241e-09,0.0,
Vitamin B2 metabolism,7,0,0,0,0,7,100.0000000006552,100.00000000113224,-4.770116999809813e-10,1.85792714546551e-09,0.0,
Purine synthesis,11,0,0,0,0,11,99.51287631100976,100.00000000093074,-0.48712368992099186,1.8579413563202252e-09,0.0,
Cholesterol metabolism,240,0,0,0,0,240,100.00000000092953,100.00000000091458,1.4935134610520133e-11,1.8579413563202252e-09,0.0,
Lipoate metabolism,1,0,0,0,0,1,100.00000000185794,99.99999999999997,1.8579697780296556e-09,1.8579697780296556e-09,0.0,
Pyruvate metabolism,26,0,0,0,0,26,100.00000000052768,100.00000000122981,-7.021238974840134e-10,1.8579413563202252e-09,0.0,
"Glycine, serine, alanine, and threonine metabolism",14,0,0,0,0,14,100.00000000065519,100.00000000086683,-2.1166763579978058e-10,1.8579413563202252e-09,0.0,
Arginine and proline metabolism,23,0,0,0,0,23,100.000000000679,100.0000000007225,-4.351240141145156e-11,1.8579413563202252e-09,0.0,
Aminoacyl-tRNA biosynthesis,20,0,0,0,0,20,100.00000000185793,100.0,1.8579413563202252e-09,1.8579413563202252e-09,0.0,
NAD metabolism,16,0,0,0,0,16,100.00000000077547,100.00000000057571,1.9975043841213846e-10,1.8579413563202252e-09,0.0,
Heme synthesis,15,0,0,0,0,15,100.00000000089408,100.00000000092766,-3.3601092278937965e-11,1.8579413563202252e-09,0.0,
Methionine and cysteine metabolism,24,0,0,0,0,24,100.00000000072811,100.0000000008575,-1.2939279277664659e-10,1.8579413563202252e-09,0.0,
Beta-Alanine metabolism,9,0,0,0,0,9,100.00000000087182,100.00000000081853,5.329544213357925e-11,1.8579413563202252e-09,0.0,
Nucleotide sugar metabolism,1,0,0,0,0,1,100.00000000045472,100.00000000185798,-1.403265059707337e-09,-1.403265059707337e-09,0.0,
