target_id,knockout_type,virus_fva_min,virus_fva_max,host_fva_min,host_fva_max,status
UAGDP,reaction,0.0,0.0,0.21093527006054408,0.23437252228949343,ok
GK1,reaction,0.0,0.0,0.21093527006054408,0.23437252228949343,ok
ACGAMPM,reaction,0.0,0.0,0.21093527006054408,0.23437252228949343,ok
ACGAM6PS,reaction,0.01553076313272717,0.017256403480807966,0.21093527006054408,0.23437252228949343,ok
GF6PTA,reaction,0.058020586797735474,0.06446731866415052,0.21093527006054408,0.23437252228949343,ok
METAT,reaction,0.06110559782136195,0.06789510869040215,0.19873295925491632,0.22081439917212917,ok
AHCi,reaction,0.06110559782136195,0.06789510869040216,0.19873295925491632,0.2208143991721292,ok
5238_AT1,gene,0.0,0.0,0.21093527006054408,0.23437252228949343,ok
64841_AT1,gene,0.01553076313272717,0.017256403480807966,0.21093527006054408,0.23437252228949343,ok
