reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
RXN_45_19364,RXN-19364,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS13779,MMAB,Apo_45_Methylmalonyl_45_CoA_45_Mutase_c + B12_45_Corrinoid_45_Adenosyltranferase_c + h_c <=> B12_45_Methylmalonyl_45_CoA_45_Mutase_c + Corrinoid_45_Adenosyltransferases_c
COBALAMINSYN_45_RXN,COBALAMINSYN-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,G66_33077;G66_31102;G66_30765;G66_33850;HS16133;HS13633,CBWD5;CBWD7;CBWD3;CBWD6;CBWD1;CBWD2,ADENOSYLCOBINAMIDE_45_GDP_c + ALPHA_45_RIBAZOLE_c <=> ADENOSYLCOBALAMIN_c + gmp_c + h_c
COBALAMIN5PSYN_45_RXN,COBALAMIN5PSYN-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,G66_33077;G66_31102;G66_30765;G66_33850;HS16133;HS13633,CBWD5;CBWD7;CBWD3;CBWD6;CBWD1;CBWD2,ADENOSYLCOBINAMIDE_45_GDP_c + ALPHA_45_RIBAZOLE_45_5_45_P_c <=> ADENOSYLCOBALAMIN_45_5_45_P_c + gmp_c + h_c
RXN_45_19318,RXN-19318,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,G66_33077;G66_31102;G66_30765;G66_33850;HS16133;HS13633,CBWD5;CBWD7;CBWD3;CBWD6;CBWD1;CBWD2,ADENOSYLCOBINAMIDE_45_GDP_c + CPD_45_20851_c <=> CPD_45_20852_c + gmp_c + h_c
RXN_45_19297,RXN-19297,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,G66_33077;G66_31102;G66_30765;G66_33850;HS16133;HS13633,CBWD5;CBWD7;CBWD3;CBWD6;CBWD1;CBWD2,ADENOSYLCOBINAMIDE_45_GDP_c + CPD_45_18105_c <=> CPD_45_20828_c + gmp_c + h_c
RXN_45_19303,RXN-19303,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,G66_33077;G66_31102;G66_30765;G66_33850;HS16133;HS13633,CBWD5;CBWD7;CBWD3;CBWD6;CBWD1;CBWD2,ADENOSYLCOBINAMIDE_45_GDP_c + CPD_45_20830_c <=> CPD_45_20855_c + gmp_c + h_c
RXN_45_19305,RXN-19305,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,G66_33077;G66_31102;G66_30765;G66_33850;HS16133;HS13633,CBWD5;CBWD7;CBWD3;CBWD6;CBWD1;CBWD2,ADENOSYLCOBINAMIDE_45_GDP_c + CPD_45_20832_c <=> CPD_45_20836_c + gmp_c + h_c
RXN_45_19304,RXN-19304,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,G66_33077;G66_31102;G66_30765;G66_33850;HS16133;HS13633,CBWD5;CBWD7;CBWD3;CBWD6;CBWD1;CBWD2,ADENOSYLCOBINAMIDE_45_GDP_c + CPD_45_20831_c <=> CPD_45_13940_c + gmp_c + h_c
RXN_45_19307,RXN-19307,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,G66_33077;G66_31102;G66_30765;G66_33850;HS16133;HS13633,CBWD5;CBWD7;CBWD3;CBWD6;CBWD1;CBWD2,ADENOSYLCOBINAMIDE_45_GDP_c + CPD_45_20838_c <=> CPD_45_20839_c + gmp_c + h_c
RXN_45_19308,RXN-19308,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,G66_33077;G66_31102;G66_30765;G66_33850;HS16133;HS13633,CBWD5;CBWD7;CBWD3;CBWD6;CBWD1;CBWD2,ADENOSYLCOBINAMIDE_45_GDP_c + CPD_45_20826_c <=> CPD_45_20856_c + gmp_c + h_c
