gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
2987_AT1,GUK1,-1.7946958382447975e-14,1.2776961718749995,-1.4046342767162783e-14,1.000000000000014,LETHAL,optimal,2,DGK1;GK1
4126_AT1,MANBA,-5.852269037754775e-16,1.2776961718749995,-4.580329163205255e-16,1.0000000000000004,LETHAL,optimal,1,B_MANNASEly
57194_AT1,ATP10A,-1.9507563459182582e-16,1.2776961718749995,-1.526776387735085e-16,1.0000000000000002,LETHAL,optimal,3,PCFLOPm;PEFLIPm;PSFLIPm
259230_AT1,SGMS1,-1.9507563459182582e-16,1.2776961718749995,-1.526776387735085e-16,1.0000000000000002,LETHAL,optimal,1,SMS
2531_AT1,KDSR,0.0,1.2776961718749995,0.0,1.0,LETHAL,optimal,1,3DSPHR
11254_AT1,SLC6A14,0.0,1.2776961718749995,0.0,1.0,LETHAL,optimal,8,VALt4;TRPt4;PHEt4;TYRt4;ARGt4;METt4;LYSt4;ILEt4
4125_AT1,MAN2B1,0.0,1.2776961718749995,0.0,1.0,LETHAL,optimal,1,A_MANASEly
51727_AT1,CMPK1,0.0,1.2776961718749995,0.0,1.0,LETHAL,optimal,40,CYTK7n;UMPK;CYTK14n;UMPK7n;CYTK8;UMPK2;CYTK1n;UMPKn;CYTK8n;CYTK1
175_AT1,AGA,0.0,1.2776961718749995,0.0,1.0,LETHAL,optimal,2,GASNASE2ly;GASNASEly
9791_AT1,PTDSS1,5.852269037754775e-16,1.2776961718749995,4.580329163205255e-16,0.9999999999999996,LETHAL,optimal,1,PSSA1_hs
