gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
2987_AT1,GUK1,-6.829850538990716e-14,1.2522718959731547,-5.453967753291438e-14,1.0000000000000546,LETHAL,optimal,2,DGK1;GK1
51727_AT1,CMPK1,-5.598238146713702e-16,1.2522718959731547,-4.470465371550359e-16,1.0000000000000004,LETHAL,optimal,40,CYTK10;UMPK3;CYTK2n;CYTK9n;CYTK10n;UMPK3n;CYTK3n;CYTK11;UMPK4;CYTK4n
4126_AT1,MANBA,-1.8660793822379005e-16,1.2522718959731547,-1.4901551238501196e-16,1.0000000000000002,LETHAL,optimal,1,B_MANNASEly
4125_AT1,MAN2B1,-1.8660793822379005e-16,1.2522718959731547,-1.4901551238501196e-16,1.0000000000000002,LETHAL,optimal,1,A_MANASEly
57194_AT1,ATP10A,-3.732158764475801e-16,1.2522718959731547,-2.980310247700239e-16,1.0000000000000002,LETHAL,optimal,3,PEFLIPm;PSFLIPm;PCFLOPm
2531_AT1,KDSR,0.0,1.2522718959731547,0.0,1.0,LETHAL,optimal,1,3DSPHR
11254_AT1,SLC6A14,1.8660793822379005e-16,1.2522718959731547,1.4901551238501196e-16,0.9999999999999999,LETHAL,optimal,8,VALt4;ARGt4;TYRt4;LYSt4;METt4;TRPt4;PHEt4;ILEt4
175_AT1,AGA,1.8660793822379005e-16,1.2522718959731547,1.4901551238501196e-16,0.9999999999999999,LETHAL,optimal,2,GASNASEly;GASNASE2ly
259230_AT1,SGMS1,1.8660793822379005e-16,1.2522718959731547,1.4901551238501196e-16,0.9999999999999999,LETHAL,optimal,1,SMS
9791_AT1,PTDSS1,1.3062555675665304e-15,1.2522718959731547,1.0431085866950838e-15,0.999999999999999,LETHAL,optimal,1,PSSA1_hs
