reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
A_MANASEly,"alpha-mannosidase, lysosomal",Unknown,-1.0076828664084663e-14,1.2522718959731547,-8.046837668790647e-15,1.000000000000008,LETHAL,optimal,1,4125_AT1,MAN2B1,2.0 h2o_l + m2mn_l --> 2.0 man_l + mn_l
GK1,guanylate kinase (GMP:ATP),Unknown,-9.143788972965714e-15,1.2522718959731547,-7.301760106865587e-15,1.0000000000000073,LETHAL,optimal,1,2987_AT1,GUK1,atp_c + gmp_c <=> adp_c + gdp_c
METAT,methionine adenosyltransferase,Unknown,-7.837533405399182e-15,1.2522718959731547,-6.2586515201705026e-15,1.0000000000000062,LETHAL,optimal,4,27430_AT2;27430_AT1;4144_AT1;4143_AT1,MAT2B;MAT2B;MAT2A;MAT1A,MET_c + WATER_c + atp_c --> amet_c + pi_c + ppi_c
SMS,Sphingomyelin synthase (homo sapiens),Unknown,-2.4259031969092706e-15,1.2522718959731547,-1.9372016610051556e-15,1.000000000000002,LETHAL,optimal,1,259230_AT1,SGMS1,crm_DASH_hs_c + pchol_DASH_hs_c --> DIACYLGLYCEROL_c + sphmyln_DASH_hs_c
PSSA1_hs,Phosphatidylserine synthase homo sapiens,Unknown,-2.239295258685481e-15,1.2522718959731547,-1.7881861486201437e-15,1.0000000000000018,LETHAL,optimal,1,9791_AT1,PTDSS1,SER_c + pchol_DASH_hs_c <=> chol_c + ps_DASH_hs_c
RXN66_45_457,RXN66-457,Unknown,-1.1196476293427404e-15,1.2522718959731547,-8.940930743100719e-16,1.0000000000000009,LETHAL,optimal,2,HS09071;HS05853,SLC6A18;SLC38A2,LEU_e + NA_43__e <=> LEU_c + NA_43__c
H2Otly,"H2O transport, lysosomal",Unknown,-7.464317528951602e-16,1.2522718959731547,-5.960620495400478e-16,1.0000000000000007,LETHAL,optimal,0,,,WATER_c <=> h2o_l
PETOHMm_hs,phosphatidylethanolamine N-methyltransferase,Unknown,-5.598238146713702e-16,1.2522718959731547,-4.470465371550359e-16,1.0000000000000004,LETHAL,optimal,3,10400_AT2;10400_AT1;10400_AT3,PEMT;PEMT;PEMT,3.0 amet_m + pe_DASH_hs_m --> 3.0 ahcys_m + 3.0 h_m + pchol_DASH_hs_m
ADENOSYLHOMOCYSTEINASE_45_RXN,ADENOSYLHOMOCYSTEINASE-RXN,Unknown,-3.732158764475801e-16,1.2522718959731547,-2.980310247700239e-16,1.0000000000000002,LETHAL,optimal,3,HS09809;HS08293;HS02273,AHCYL1;AHCYL2;AHCY,ADENOSYL_45_HOMO_45_CYS_c + WATER_c <=> ADENOSINE_c + HOMO_45_CYS_c
ILEt4,L-isoleucine transport in via sodium symport,Unknown,-3.732158764475801e-16,1.2522718959731547,-2.980310247700239e-16,1.0000000000000002,LETHAL,optimal,1,11254_AT1,SLC6A14,NA_43__e + ile_DASH_DASH_DASH_L_e --> ILE_c + NA_43__c
