gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
175_AT1,AGA,-1.612410168392289e-14,1.2506537006578953,-1.2892539058126922e-14,1.0000000000000129,LETHAL,optimal,2,GASNASE2ly;GASNASEly
51727_AT1,CMPK1,-3.749791089284393e-15,1.2506537006578953,-2.998264897238819e-15,1.000000000000003,LETHAL,optimal,40,CYTK7n;UMPK;CYTK14n;UMPK7n;CYTK8;UMPK2;CYTK1n;UMPKn;CYTK8n;CYTK1
2987_AT1,GUK1,-5.624686633926589e-16,1.2506537006578953,-4.497397345858228e-16,1.0000000000000004,LETHAL,optimal,2,DGK1;GK1
2531_AT1,KDSR,-3.749791089284393e-16,1.2506537006578953,-2.998264897238819e-16,1.0000000000000002,LETHAL,optimal,1,3DSPHR
4126_AT1,MANBA,0.0,1.2506537006578953,0.0,1.0,LETHAL,optimal,1,B_MANNASEly
9791_AT1,PTDSS1,0.0,1.2506537006578953,0.0,1.0,LETHAL,optimal,1,PSSA1_hs
259230_AT1,SGMS1,0.0,1.2506537006578953,0.0,1.0,LETHAL,optimal,1,SMS
11254_AT1,SLC6A14,1.8748955446421965e-16,1.2506537006578953,1.4991324486194095e-16,0.9999999999999999,LETHAL,optimal,8,VALt4;TRPt4;PHEt4;TYRt4;ARGt4;METt4;LYSt4;ILEt4
57194_AT1,ATP10A,3.749791089284393e-16,1.2506537006578953,2.998264897238819e-16,0.9999999999999997,LETHAL,optimal,3,PCFLOPm;PEFLIPm;PSFLIPm
4125_AT1,MAN2B1,1.3124268812495374e-15,1.2506537006578953,1.0493927140335866e-15,0.999999999999999,LETHAL,optimal,1,A_MANASEly
