gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_reactions,reactions
2987_AT1,GUK1,-3.257630824593441e-15,1.2587014195583626,-2.588088623699525e-15,1.0000000000000027,LETHAL,optimal,2,DGK1;GK1
2531_AT1,KDSR,0.0,1.2587014195583626,0.0,1.0,LETHAL,optimal,1,3DSPHR
4126_AT1,MANBA,0.0,1.2587014195583626,0.0,1.0,LETHAL,optimal,1,B_MANNASEly
57194_AT1,ATP10A,0.0,1.2587014195583626,0.0,1.0,LETHAL,optimal,3,PEFLIPm;PSFLIPm;PCFLOPm
259230_AT1,SGMS1,0.0,1.2587014195583626,0.0,1.0,LETHAL,optimal,1,SMS
9791_AT1,PTDSS1,1.916253426231436e-16,1.2587014195583626,1.5224050727644265e-16,0.9999999999999999,LETHAL,optimal,1,PSSA1_hs
51727_AT1,CMPK1,7.665013704925744e-16,1.2587014195583626,6.089620291057706e-16,0.9999999999999994,LETHAL,optimal,40,UMPK6n;CYTK7;CYTK14;UMPK7;CYTK7n;UMPK;CYTK14n;UMPK7n;CYTK8;UMPK2
175_AT1,AGA,7.665013704925744e-16,1.2587014195583626,6.089620291057706e-16,0.9999999999999994,LETHAL,optimal,2,GASNASEly;GASNASE2ly
11254_AT1,SLC6A14,3.0660054819702976e-15,1.2587014195583626,2.4358481164230825e-15,0.9999999999999976,LETHAL,optimal,8,METt4;LYSt4;PHEt4;TRPt4;ILEt4;TYRt4;VALt4;ARGt4
4125_AT1,MAN2B1,3.832506852462872e-15,1.2587014195583626,3.0448101455288534e-15,0.999999999999997,LETHAL,optimal,1,A_MANASEly
